block_number,block_timestamp,available_at_utc,price_usd,reserve_base,reserve_quote,base_fee_gwei,priority_fee_gwei,gas_used,eth_usd
19000000,2025-01-01T00:00:00+00:00,2025-01-01T00:02:00+00:00,1990.00000000,1500.00000000,2985000.00000000,18.00,1.50,140000,1990.00000000
19000001,2025-01-01T04:00:00+00:00,2025-01-01T04:02:00+00:00,1998.33333333,1502.00000000,3001496.66666667,19.00,1.50,140000,1998.33333333
19000002,2025-01-01T08:00:00+00:00,2025-01-01T08:02:00+00:00,2006.66666667,1504.00000000,3018026.66666667,20.00,1.50,140000,2006.66666667
19000003,2025-01-01T12:00:00+00:00,2025-01-01T12:02:00+00:00,2015.00000000,1506.00000000,3034590.00000000,21.00,1.50,140000,2015.00000000
19000004,2025-01-01T16:00:00+00:00,2025-01-01T16:02:00+00:00,2023.33333333,1508.00000000,3051186.66666667,22.00,1.50,140000,2023.33333333
19000005,2025-01-01T20:00:00+00:00,2025-01-01T20:02:00+00:00,2031.66666667,1510.00000000,3067816.66666667,18.00,1.50,140000,2031.66666667
19000006,2025-01-02T00:00:00+00:00,2025-01-02T00:02:00+00:00,2020.00000000,1512.00000000,3054240.00000000,19.00,1.50,140000,2020.00000000
19000007,2025-01-02T04:00:00+00:00,2025-01-02T04:02:00+00:00,2028.33333333,1514.00000000,3070896.66666667,20.00,1.50,140000,2028.33333333
19000008,2025-01-02T08:00:00+00:00,2025-01-02T08:02:00+00:00,2036.66666667,1516.00000000,3087586.66666667,21.00,1.50,140000,2036.66666667
19000009,2025-01-02T12:00:00+00:00,2025-01-02T12:02:00+00:00,2045.00000000,1518.00000000,3104310.00000000,22.00,1.50,140000,2045.00000000
19000010,2025-01-02T16:00:00+00:00,2025-01-02T16:02:00+00:00,2053.33333333,1520.00000000,3121066.66666667,18.00,1.50,140000,2053.33333333
19000011,2025-01-02T20:00:00+00:00,2025-01-02T20:02:00+00:00,2061.66666667,1522.00000000,3137856.66666667,19.00,1.50,140000,2061.66666667
19000012,2025-01-03T00:00:00+00:00,2025-01-03T00:02:00+00:00,2050.00000000,1524.00000000,3124200.00000000,20.00,1.50,140000,2050.00000000
19000013,2025-01-03T04:00:00+00:00,2025-01-03T04:02:00+00:00,2058.33333333,1526.00000000,3141016.66666667,21.00,1.50,140000,2058.33333333
19000014,2025-01-03T08:00:00+00:00,2025-01-03T08:02:00+00:00,2066.66666667,1528.00000000,3157866.66666667,22.00,1.50,140000,2066.66666667
19000015,2025-01-03T12:00:00+00:00,2025-01-03T12:02:00+00:00,2075.00000000,1530.00000000,3174750.00000000,18.00,1.50,140000,2075.00000000
19000016,2025-01-03T16:00:00+00:00,2025-01-03T16:02:00+00:00,2083.33333333,1532.00000000,3191666.66666667,19.00,1.50,140000,2083.33333333
19000017,2025-01-03T20:00:00+00:00,2025-01-03T20:02:00+00:00,2091.66666667,1534.00000000,3208616.66666667,20.00,1.50,140000,2091.66666667
19000018,2025-01-04T00:00:00+00:00,2025-01-04T00:02:00+00:00,2080.00000000,1536.00000000,3194880.00000000,21.00,1.50,140000,2080.00000000
19000019,2025-01-04T04:00:00+00:00,2025-01-04T04:02:00+00:00,2088.33333333,1538.00000000,3211856.66666667,22.00,1.50,140000,2088.33333333
19000020,2025-01-04T08:00:00+00:00,2025-01-04T08:02:00+00:00,2096.66666667,1540.00000000,3228866.66666667,18.00,1.50,140000,2096.66666667
19000021,2025-01-04T12:00:00+00:00,2025-01-04T12:02:00+00:00,2105.00000000,1542.00000000,3245910.00000000,19.00,1.50,140000,2105.00000000
19000022,2025-01-04T16:00:00+00:00,2025-01-04T16:02:00+00:00,2113.33333333,1544.00000000,3262986.66666667,20.00,1.50,140000,2113.33333333
19000023,2025-01-04T20:00:00+00:00,2025-01-04T20:02:00+00:00,2121.66666667,1546.00000000,3280096.66666667,21.00,1.50,140000,2121.66666667
19000024,2025-01-05T00:00:00+00:00,2025-01-05T00:02:00+00:00,2110.00000000,1548.00000000,3266280.00000000,22.00,1.50,140000,2110.00000000
19000025,2025-01-05T04:00:00+00:00,2025-01-05T04:02:00+00:00,2118.33333333,1550.00000000,3283416.66666667,18.00,1.50,140000,2118.33333333
19000026,2025-01-05T08:00:00+00:00,2025-01-05T08:02:00+00:00,2126.66666667,1552.00000000,3300586.66666667,19.00,1.50,140000,2126.66666667
19000027,2025-01-05T12:00:00+00:00,2025-01-05T12:02:00+00:00,2135.00000000,1554.00000000,3317790.00000000,20.00,1.50,140000,2135.00000000
19000028,2025-01-05T16:00:00+00:00,2025-01-05T16:02:00+00:00,2143.33333333,1556.00000000,3335026.66666667,21.00,1.50,140000,2143.33333333
19000029,2025-01-05T20:00:00+00:00,2025-01-05T20:02:00+00:00,2151.66666667,1558.00000000,3352296.66666667,22.00,1.50,140000,2151.66666667
19000030,2025-01-06T00:00:00+00:00,2025-01-06T00:02:00+00:00,2140.00000000,1560.00000000,3338400.00000000,18.00,1.50,140000,2140.00000000
19000031,2025-01-06T04:00:00+00:00,2025-01-06T04:02:00+00:00,2148.33333333,1562.00000000,3355696.66666667,19.00,1.50,140000,2148.33333333
19000032,2025-01-06T08:00:00+00:00,2025-01-06T08:02:00+00:00,2156.66666667,1564.00000000,3373026.66666667,20.00,1.50,140000,2156.66666667
19000033,2025-01-06T12:00:00+00:00,2025-01-06T12:02:00+00:00,2165.00000000,1566.00000000,3390390.00000000,21.00,1.50,140000,2165.00000000
19000034,2025-01-06T16:00:00+00:00,2025-01-06T16:02:00+00:00,2173.33333333,1568.00000000,3407786.66666667,22.00,1.50,140000,2173.33333333
19000035,2025-01-06T20:00:00+00:00,2025-01-06T20:02:00+00:00,2181.66666667,1570.00000000,3425216.66666667,18.00,1.50,140000,2181.66666667
19000036,2025-01-07T00:00:00+00:00,2025-01-07T00:02:00+00:00,2170.00000000,1572.00000000,3411240.00000000,19.00,1.50,140000,2170.00000000
19000037,2025-01-07T04:00:00+00:00,2025-01-07T04:02:00+00:00,2178.33333333,1574.00000000,3428696.66666667,20.00,1.50,140000,2178.33333333
19000038,2025-01-07T08:00:00+00:00,2025-01-07T08:02:00+00:00,2186.66666667,1576.00000000,3446186.66666667,21.00,1.50,140000,2186.66666667
19000039,2025-01-07T12:00:00+00:00,2025-01-07T12:02:00+00:00,2195.00000000,1578.00000000,3463710.00000000,22.00,1.50,140000,2195.00000000
19000040,2025-01-07T16:00:00+00:00,2025-01-07T16:02:00+00:00,2203.33333333,1580.00000000,3481266.66666667,18.00,1.50,140000,2203.33333333
19000041,2025-01-07T20:00:00+00:00,2025-01-07T20:02:00+00:00,2211.66666667,1582.00000000,3498856.66666667,19.00,1.50,140000,2211.66666667
19000042,2025-01-08T00:00:00+00:00,2025-01-08T00:02:00+00:00,2200.00000000,1584.00000000,3484800.00000000,20.00,1.50,140000,2200.00000000
19000043,2025-01-08T04:00:00+00:00,2025-01-08T04:02:00+00:00,2208.33333333,1586.00000000,3502416.66666667,21.00,1.50,140000,2208.33333333
19000044,2025-01-08T08:00:00+00:00,2025-01-08T08:02:00+00:00,2216.66666667,1588.00000000,3520066.66666667,22.00,1.50,140000,2216.66666667
19000045,2025-01-08T12:00:00+00:00,2025-01-08T12:02:00+00:00,2225.00000000,1590.00000000,3537750.00000000,18.00,1.50,140000,2225.00000000
19000046,2025-01-08T16:00:00+00:00,2025-01-08T16:02:00+00:00,2233.33333333,1592.00000000,3555466.66666667,19.00,1.50,140000,2233.33333333
19000047,2025-01-08T20:00:00+00:00,2025-01-08T20:02:00+00:00,2241.66666667,1594.00000000,3573216.66666667,20.00,1.50,140000,2241.66666667
